,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
114,COCO,DPMS,DDIM,NONE,2.5602759279403835,299.018636083029,,20.750083923339844,37.38959503173828,33.697017669677734,25
115,COCO,UNIPC,AYS,NONE,4.508317754417658,203.367868869726,,21.40341567993164,38.55751419067383,33.72323989868164,17
116,COCO,UNIPC,LINEAR,NONE,4.4563979827240106,203.367868869726,,21.56249237060547,37.52113723754883,33.70502853393555,17
117,COCO,UNIPC,DDIM,NONE,4.440874639824033,203.367868869726,,22.401716232299805,34.959781646728516,33.58401870727539,17
118,COCO,DPMS,LINEAR,NONE,4.565620605163276,203.367867820861,,21.105655670166016,38.039573669433594,33.71403121948242,17
119,COCO,DPMS,DDIM,NONE,4.514633028665558,203.367867820861,,22.139020919799805,35.60658645629883,33.56657409667969,17
120,COCO,UNIPC,AYS,NONE,2.739493522532284,119.673446181451,,20.17874526977539,37.705787658691406,33.53223419189453,10
121,COCO,DPMS,KARRAS,NONE,1.7440238281339406,203.367867820861,,21.28357696533203,39.06196594238281,33.737796783447266,17
122,COCO,UNIPC,LINEAR,NONE,2.630897990502417,119.673446181451,,20.507551193237305,37.22734069824219,33.56617736816406,10
123,COCO,UNIPC,DDIM,NONE,2.711805795170367,119.673446181451,,27.545286178588867,30.33475112915039,33.48553466796875,10
124,COCO,UNIPC,KARRAS,NONE,1.0594368298538028,119.673446181451,,20.891115188598633,37.918731689453125,33.60010528564453,10
125,COCO,DPMS,AYS,NONE,2.7065853395313026,119.673445591464,,19.892993927001953,38.72985076904297,33.56574249267578,10
126,COCO,DPMS,KARRAS,NONE,2.6658769372478126,119.673445591464,,20.542177200317383,38.31598663330078,33.64822006225586,10
127,COCO,UNIPC,KARRAS,NONE,1.863585152849555,83.804407886476,,22.206924438476562,34.14124298095703,33.28891372680664,7
128,COCO,UNIPC,SNR,NONE,1.8794768458232283,83.804407886476,,23.968046188354492,34.11128234863281,32.947200775146484,7
129,COCO,DPMS,LINEAR,NONE,1.0359326815325767,119.673445591464,,20.15833854675293,37.17886734008789,33.56470489501953,10
130,COCO,DPMS,DDIM,NONE,1.035600899681449,119.673445591464,,26.442197799682617,30.4501895904541,33.45966720581055,10
131,COCO,UNIPC,AYS,NONE,1.8417546659708024,83.804407886476,,19.960891723632812,36.76213836669922,33.23060989379883,7
132,COCO,UNIPC,LINEAR,NONE,1.8859309620177374,83.804407886476,,20.12796401977539,36.517822265625,33.409332275390625,7
133,COCO,UNIPC,DDIM,NONE,0.7448486694693566,83.804407886476,,38.984901428222656,24.586780548095703,32.9155387878418,7
134,COCO,DPMS,KARRAS,NONE,0.728081652969122,83.804407493151,,21.807849884033203,35.36107635498047,33.34131622314453,7
135,COCO,DPMS,SNR,NONE,0.7331417590007185,83.804407493151,,23.19547462463379,34.891929626464844,33.02311706542969,7
136,COCO,DPMS,AYS,NONE,1.8725700418651103,83.804407493151,,20.076662063598633,36.65210723876953,33.260719299316406,7
137,COCO,DPMS,DDIM,NONE,1.8637923362478614,83.804407493151,,36.321754455566406,25.182268142700195,32.886417388916016,7
138,COCO,DPMS,LINEAR,NONE,1.8732394866645337,83.804407493151,,20.26395034790039,36.50348663330078,33.41512680053711,7
139,COCO,UNIPC,SNR,NONE,1.3450460781902074,59.891715689826,,46.933292388916016,24.57789421081543,31.65514373779297,5
140,COCO,UNIPC,AYS,NONE,1.3369991285726428,59.891715689826,,27.571123123168945,30.67434310913086,32.456417083740234,5
141,COCO,UNIPC,LINEAR,NONE,1.3736178625002504,59.891715689826,,21.385244369506836,34.90662384033203,33.21974182128906,5
142,COCO,UNIPC,DDIM,NONE,0.5375459972396492,59.891715689826,,66.65982818603516,17.83241844177246,31.262449264526367,5
143,COCO,DPMS,KARRAS,NONE,1.3462089993804693,59.891715427609,,36.62825393676758,27.55304527282715,32.22628402709961,5
144,COCO,DPMS,AYS,NONE,1.3312920386344194,59.891715427609,,28.179412841796875,30.947978973388672,32.428443908691406,5
145,COCO,DPMS,SNR,NONE,0.5300782930478454,59.891715427609,,45.31303787231445,25.02872657775879,31.703380584716797,5
146,COCO,DPMS,DDIM,NONE,1.3437729194760322,59.891715427609,,62.67633056640625,18.948352813720703,31.06144905090332,5
147,COCO,DPMS,LINEAR,NONE,1.3165649392455816,59.891715427609,,21.892257690429688,35.06248092651367,33.207435607910156,5
148,COCO,DDIM,SNR,NONE,6.57657445460558,299.018636082845,,20.685033798217773,39.813987731933594,33.74028396606445,25
149,COCO,DDIM,KARRAS,NONE,6.946576495338231,299.018636082845,,20.969762802124023,39.817779541015625,33.75105667114258,25
150,COCO,DDIM,LINEAR,NONE,6.607670869044959,299.018636082845,,21.0779972076416,38.42505645751953,33.72610855102539,25
151,COCO,DDIM,DDIM,NONE,6.819126632288098,299.018636082845,,20.736555099487305,38.032371520996094,33.61351013183594,25
152,COCO,DDIM,AYS,NONE,6.626080901920796,299.018636082845,,21.00450325012207,39.46247100830078,33.743309020996094,25
